Submitted,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?,What is the difference between the bars labeled with red dots?
2/29/24 23:55,70,20,65,75,40,40,20,25,35,1,75,25,60,75,40,40,20,25,30,1
2/29/24 23:52,70,20,63,74,39,32,16,24,33,1,70,20,62,74,38,33,17,22,34,1
2/29/24 23:46,70,20,60,75,37,36,18,20,30,2,80,18,58,74,40,32,17,23,30,2
2/29/24 23:39,70,20,60,75,40,45,5,25,31,1,70,20,63,75,40,36,16,24,30,1
2/29/24 23:30,70,20,63,75,40,45,16,23,32,1,70,20,64,73,38,36,18,25,42,2
2/29/24 22:47,60,20,50,75,40,35,20,25,30,1,70,20,55,75,40,37,20,25,32,0
2/29/24 22:40,70,10,35,90,30,25,15,25,25,3,80,20,55,90,45,30,20,35,40,1
2/29/24 22:37,70,20,60,75,40,30,40,20,30,5,70,20,60,75,40,35,20,35,30,3
2/29/24 15:35,70,20,65,75,40,35,20,30,30,2,70,20,62,75,40,35,18,25,35,1
2/29/24 03:50,70,20,60,75,40,40,15,45,35,2,80,20,60,75,40,35,25,25,20,2
2/29/24 03:46,70,20,60,75,40,35,20,25,30,2,70,20,60,75,45,35,20,15,30,2
,,,,,,,,,,,,,,,,,,,,
